X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
-175.816,15.5273,3.05351,174.953,176.5
-170.226,9.66656,3.08487,176.75,170.5
-3352.58,120.745,3.10559,177.938,3354.75
-679.211,19.8266,3.11241,178.328,679.5
-384.926,7.55999,3.12196,178.875,385
-335.04,-17.5578,3.19395,183,335.5
-328.534,-28.2908,3.22749,184.922,329.75
-313.423,-36.1422,3.2564,186.578,315.5
-339.63,-51.42,3.29185,188.609,343.5
-336.917,-58.7437,3.31421,189.891,342
-334.502,-66.2512,3.33712,191.203,341
-332.298,-71.9582,3.35485,192.219,340
-329.903,-81.2028,3.38294,193.828,339.75
-328.559,-87.46,3.40175,194.906,340
-326.157,-96.0307,3.42793,196.406,340
-325.129,-101.149,3.4432,197.281,340.5
-323.555,-107.671,3.46284,198.406,341
-320.148,-117.414,3.49311,200.141,341
-319.284,-123.26,3.51002,201.109,342.25
-317.283,-130.308,3.53129,202.328,343
-314.145,-140.174,3.56129,204.047,344
-313.087,-147.869,3.58283,205.281,346.25
-311.033,-153.278,3.59947,206.234,346.75
-307.223,-162.923,3.62919,207.938,347.75
-306.429,-169.637,3.64719,208.969,350.25
-304.163,-178.16,3.67146,210.359,352.5
-302.962,-185.995,3.69219,211.547,355.5
-299.41,-193.51,3.71537,212.875,356.5
-299.756,-199.816,3.72955,213.688,360.25
0,0,3.78654,216.953,0
-317.369,-533.777,4.17597,239.266,621
-296.917,-648.236,4.28287,245.391,713
-269.296,-628.213,4.30741,246.797,683.5
-250.673,-624.843,4.33087,248.141,673.25
-234.442,-624.44,4.35323,249.422,667
-214.946,-617.668,4.3775,250.812,654
-199.744,-619.337,4.40041,252.125,650.75
-183.707,-614.633,4.42195,253.359,641.5
-168.025,-613.662,4.44513,254.688,636.25
-152.595,-612.013,4.46804,256,630.75
-138.048,-610.845,4.49013,257.266,626.25
-124.674,-609.377,4.51058,258.438,622
-109.304,-604.447,4.53349,259.75,614.25
-94.751,-604.621,4.55694,261.094,612
-78.7718,-602.119,4.5823,262.547,607.25
-66.7143,-601.562,4.60194,263.672,605.25
-52.6992,-600.442,4.62485,264.984,602.75
-38.6393,-599.506,4.64803,266.312,600.75
-23.9886,-598.019,4.6723,267.703,598.5
-10.6135,-607.907,4.69493,269,608
1.14584,-601.499,4.71429,270.109,601.5
15.1027,-615.315,4.73693,271.406,615.5
29.1206,-589.531,4.76175,272.828,590.25
42.4918,-589.22,4.78438,274.125,590.75
55.7222,-587.112,4.80701,275.422,589.75
68.9958,-585.7,4.82965,276.719,589.75
81.9643,-585.541,4.85147,277.969,591.25
94.7183,-583.614,4.87328,279.219,591.25
108.424,-581.478,4.89674,280.562,591.5
121.488,-581.699,4.91828,281.797,594.25
134.227,-580.689,4.93955,283.016,596
146.6,-579.236,4.96028,284.203,597.5
159.884,-579.602,4.98155,285.422,601.25
173.865,-577.129,5.005,286.766,602.75
161.344,-480.906,5.03609,288.547,507.25
178.255,-430.018,5.10536,292.516,465.5
0,0,5.15553,295.391,0
288.014,-565.646,5.18335,296.984,634.75
312.248,-585.718,5.20217,298.062,663.75
317.919,-564.078,5.22562,299.406,647.5
336.021,-563.406,5.25016,300.812,656
352.141,-561.162,5.2728,302.109,662.5
368.007,-561.978,5.29216,303.219,671.75
384.803,-557.614,5.31643,304.609,677.5
430.902,-571.508,5.35843,307.016,715.75
451.15,-574.538,5.37806,308.141,730.5
456.535,-553.518,5.40206,309.516,717.5
475.591,-549.526,5.42579,310.875,726.75
496.089,-549.76,5.44651,312.062,740.5
526.255,-560.043,5.46669,313.219,768.5
148.772,-92.6258,5.72631,328.094,175.25
0,0,6.14274,351.953,0
775.586,-91.8007,6.16537,353.25,781
771.868,-74.9639,6.18637,354.453,775.5
770.475,-39.7509,6.23164,357.047,771.5
768.185,-22.0065,6.25455,358.359,768.5
765.736,-4.5982,6.27718,359.656,765.75
X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
763.193,9.36624,0.0122718,0.703125,763.25
762.483,28.0839,0.0368155,2.10938,763
760.879,45.7042,0.0599956,3.4375,762.25
